distrito,bank,courthouse,hospital,marketplace,police,school,university,mean,kmeans
ANCON,113.26863301829405,12864.18556,660.0742862341696,142.2596011990901,123.3725545933882,227.0128988017209,12864.18556,3856.337013406666,Cluster 0
ATE,79.23687010002709,524.9082263089463,264.86574266373924,126.05059163143947,80.25409245362687,60.96918685375784,842.5126430310213,282.68533614893687,Cluster 1
BARRANCO,303.4162727236572,12864.18556,0.0073505499689218564,386.8852481123861,144.90713356045524,128.77930316397638,389.0782049082382,2031.0370104312406,Cluster 2
BELLAVISTA,31.78073414948027,12864.18556,258.8074644366015,12864.18556,12864.18556,18.517244415117602,461.19280519102523,5623.264989741745,Cluster 2
BREÃ‘A,497.9383257415337,1691.8653682431968,628.4379374796614,187.94887916295585,962.7919852081012,89.56933139204591,1271.5340571455854,761.4408406247258,Cluster 1
CALLAO,308.9868774252926,12864.18556,409.8151346472392,208.11277937122958,0.002074213351845543,183.6045212714363,167.82365203115418,2020.3615141371004,Cluster 2
CARABAYLLO,26.52942802026677,69.46293116150723,1761.6050851424868,100.96989668235963,271.8753542017671,57.874325144325105,12864.18556,2164.6432257646734,Cluster 1
CARMEN_DE_LA_LEGUA_REYNOSO,12864.18556,12864.18556,406.87829965128975,0.0023115290056004143,12864.18556,28.918201792993948,12864.18556,7413.220150424755,Cluster 0
CHACLACAYO,234.85405763609486,69.17929958313131,202.29200664432446,41.423932863502884,316.63020751205124,27.96054931091847,12864.18556,1965.2179447928606,Cluster 1
CHORRILLOS,224.6480191053,12864.18556,377.436571476052,217.4589761699408,548.8563068255686,68.82915275550897,226.16971624164844,2075.369186082002,Cluster 2
CIENEGUILLA,12864.18556,12864.18556,12864.18556,121.27715709100737,76.2474581565517,308.16113931076177,12864.18556,7423.203999222617,Cluster 3
COMAS,145.9714045675352,12864.18556,231.99299817407388,105.65640163622831,110.02808284274175,29.267111679637928,4.332589718185735,1927.3477355169146,Cluster 2
EL_AGUSTINO,388.0239297854303,8719.122136604867,159.519145453693,263.8912834004209,482.9514679790171,39.47297523568477,532.4769137897669,1512.2082646069828,Cluster 2
INDEPENDENCIA,283.94282083274214,225.32290364405807,74.9647599145467,134.68101192717592,342.22796146421933,68.78891687454238,243.6408729942952,196.22417823593995,Cluster 1
JESUS_MARIA,372.7592236377896,2659.8859448551,957.3990755835008,679.8368301960072,554.4652639354506,185.92972680279652,393.98169822024187,829.1796804615553,Cluster 1
LA_MOLINA,56.71371985296542,345.58503880348906,0.0031828122976120736,111.9753743639055,68.64420814124203,54.580959610857676,112.80774718347291,107.18717582403289,Cluster 1
LA_PERLA,0.00622966572342295,12864.18556,105.4452203551747,12864.18556,12864.18556,110.57341391842695,12864.18556,7381.823871991332,Cluster 0
LA_PUNTA,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,12864.18556,Cluster 3
LA_VICTORIA,421.0813461613753,7415.755395866615,1352.4926910941333,848.9501558254118,531.6212747860344,238.4056233120324,1256.1091237944631,1723.4879444057237,Cluster 2
LIMA,811.803914318414,3999.620424572904,2374.786595675002,777.7225068584307,1094.704305835567,420.4195143071808,1334.6759875512,1544.8190355883855,Cluster 1
LINCE,254.59423037878312,999.516466269536,986.2145914738716,619.7848776484225,1959.7707897910861,213.33381632368145,704.4833227067398,819.6711563703029,Cluster 1
LOS_OLIVOS,242.01387428955158,12864.18556,341.61531551829603,181.16792144874782,98.33064514622164,40.071190282152344,469.0390852469494,2033.7747988474173,Cluster 2
LURIGANCHO,333.433120859714,46.70124816516617,467.4905780667268,163.91126663435776,420.909674307153,99.85711486610569,611.2402056262148,306.2204583607769,Cluster 1
LURIN,143.15040500309456,93.13307133592626,223.18489268014687,211.93003919427608,318.86586583281536,109.19962207030427,3.1897492021833314,157.52194933124952,Cluster 1
MAGDALENA_DEL_MAR,340.6521512292365,12864.18556,88.75770563159647,795.2239534359317,339.13261170878917,109.51468900805055,363.702988778029,2128.738522827376,Cluster 2
MIRAFLORES,138.4202144421681,395.1142499904025,324.4549007808447,799.1342609882314,967.502857549222,147.66815107728797,492.04913661811617,466.3348244923247,Cluster 1
MI_PERU,12864.18556,12864.18556,3535.126209666599,12864.18556,0.659010357332602,188.51576634454258,12864.18556,7883.006175195495,Cluster 3
PACHACAMAC,315.3667875821215,12864.18556,246.34985051591568,363.3331040921515,478.6736996288076,123.02810443281095,120.64286314752107,2073.0828527713325,Cluster 2
PUCUSANA,12864.18556,12864.18556,12864.18556,12864.18556,53.756853840106686,6.776176984988848,12864.18556,9197.351547260729,Cluster 3
PUEBLO_LIBRE,299.63032652667863,3975.9663277779932,683.6922507344069,237.8828861085594,551.4401839245727,61.25947686513631,519.7731642137411,904.2349451644412,Cluster 1
PUENTE_PIEDRA,378.80542752620283,12864.18556,1626.2895360771188,1242.0699414197486,765.6210427890343,358.46264736741233,12864.18556,4299.945673597073,Cluster 0
PUNTA_HERMOSA,12864.18556,12864.18556,661.9282969258983,12864.18556,851.946492565638,543.2458535897034,12864.18556,7644.83755472589,Cluster 3
PUNTA_NEGRA,12864.18556,12864.18556,12864.18556,0.004339947557783157,0.006595859801641837,1.4823709812418833,12864.18556,7351.176506684084,Cluster 3
RIMAC,2246.451089719412,7991.736084952026,561.9078526701841,369.8881093705105,2329.9527361650034,232.33242336925238,3843.762312340679,2510.8615155124385,Cluster 2
SANTA_ANITA,156.1122373578054,93.96618477784534,70.09414667030264,275.6902552984383,538.80338679351,58.88105773316726,255.5483067330135,207.01365362344035,Cluster 1
SANTA_MARIA_DEL_MAR,12864.18556,12864.18556,12864.18556,12864.18556,40.81950479187168,3.2814068124595397,12864.18556,9195.004101657762,Cluster 3
SANTA_ROSA,12864.18556,12864.18556,225.75759444477103,195.42933745704624,112.86642137047177,128.8253668834913,12864.18556,5607.919342879397,Cluster 0
SANTIAGO_DE_SURCO,72.31399671492663,12864.18556,439.6964813472662,168.4682242579729,120.56567654594788,56.35336247194685,64.8485091127343,1969.490258635828,Cluster 2
SAN_BARTOLO,12864.18556,12864.18556,12864.18556,12864.18556,95.93076711356652,22.64319602378622,12864.18556,9205.643109019622,Cluster 3
SAN_BORJA,98.95539788040955,12864.18556,512.661275616828,642.1310243927508,276.6116100960962,94.8148686211958,492.3000396270408,2140.237110890617,Cluster 2
SAN_ISIDRO,76.56157590437238,258.0858290465789,542.8106798817132,511.5234693826448,337.47006150917014,76.69472353424581,224.7544638778627,289.70011473379833,Cluster 1
SAN_JUAN_DE_LURIGANCHO,135.26740412056571,23.40195518863905,203.1476683986869,104.44664730608534,251.91357253920745,24.717537492505585,273.45878931610724,145.19336776597106,Cluster 1
SAN_JUAN_DE_MIRAFLORES,285.22829573485404,12864.18556,388.3215138210669,159.75068511880775,324.0445875748077,47.4066713434019,450.7181475513983,2074.2364944491915,Cluster 2
SAN_LUIS,198.440529152197,12864.18556,613.0512687619523,206.6497901633091,119.93163723441799,109.86531258311838,0.0027001080466616608,2016.0181140004345,Cluster 2
SAN_MARTIN_DE_PORRES,613.2773229484602,3108.4043983845118,700.9390129693892,155.47337169743264,2212.042291081591,67.54566730687569,1614.7070328679424,1210.341299608029,Cluster 1
SAN_MIGUEL,366.6702379011472,12864.18556,173.23900507858397,962.3240572943566,1063.7328931595168,102.26293843777121,1106.766949732284,2377.0259488005227,Cluster 2
SURQUILLO,236.4631948513477,33.97196177201933,0.005241729267890192,198.08533873392085,188.01898922716308,54.25490801225221,751.1914514209811,208.85586939242174,Cluster 1
VENTANILLA,12864.18556,12864.18556,355.46769233025185,1772.8926633852136,1762.1157259261295,522.7384579458509,12864.18556,6143.681602798207,Cluster 0
VILLA_EL_SALVADOR,139.10311729207126,121.04542808497021,230.39683570644482,128.58025621215356,51.747906477531785,35.19732195716187,108.05964578897922,116.30435878847324,Cluster 1
VILLA_MARIA_DEL_TRIUNFO,187.65736736557938,143.03171068373453,77.70120852572998,167.47955898933805,688.8178968198569,75.3842688432299,496.5882486916346,262.38003713130047,Cluster 1
