osmid,street_count,highway,ref,geometry,NN,NN_dist
197654185,3,,,POINT (-77.0214587 -12.1342897),5476366884,0.001714439768558462
258309932,3,,,POINT (-77.02662669999999 -12.1419848),391012553,0.0034020890538026985
263621934,3,,,POINT (-77.0226785 -12.1369635),263622413,0.00016296214283756017
263621936,4,,,POINT (-77.02235349999999 -12.1394795),263621936,0.0
263621937,4,,,POINT (-77.02229010000001 -12.1403571),263621937,0.0
263622404,4,,,POINT (-77.0221221 -12.1411176),263622404,0.0
263622407,4,,,POINT (-77.0222563 -12.1394691),263622407,0.0
263622408,3,,,POINT (-77.0222708 -12.1392349),263622407,0.00023464843915941349
263622411,3,,,POINT (-77.0223211 -12.1386361),263622412,0.0007714695716620129
263622412,4,traffic_signals,,POINT (-77.0224012 -12.1378688),263622412,0.0
263622413,3,,,POINT (-77.02256060000001 -12.137076),263622413,0.0
263622414,4,,,POINT (-77.0227477 -12.1358543),263622414,0.0
263631691,3,crossing,,POINT (-77.0179241 -12.1356061),4266808708,0.0002227100356954972
263631693,3,motorway_junction,1,POINT (-77.0183885 -12.1356495),4266808708,0.0005043120065943669
263631697,3,motorway_junction,2,POINT (-77.02045990000001 -12.1338204),4266807086,0.0024859886986976936
263635519,3,,,POINT (-77.0189599 -12.1315789),4266807081,0.001017661146944721
263636369,4,,,POINT (-77.0192577 -12.1335649),4266808690,0.0013041139214011858
263636370,3,,,POINT (-77.0196062 -12.1329118),4266807082,0.0017589551102841997
263636371,3,,,POINT (-77.0199958 -12.13213),263625293,0.0017653339089275515
263636372,4,,,POINT (-77.020203 -12.1316908),263624806,0.0013718576055847746
263636878,4,,,POINT (-77.0206653 -12.1324573),263624806,0.0020525577726334724
263638414,3,,,POINT (-77.01878189999999 -12.1333544),4266808690,0.0009027644044760721
263640435,3,,,POINT (-77.0220501 -12.1347311),5476366884,0.0010372860164871802
263640436,3,motorway_junction,,POINT (-77.0213949 -12.1343621),5476366884,0.0017537098961884312
263640458,3,,,POINT (-77.0202673 -12.1340045),4266807086,0.002302453235143741
263641100,3,,,POINT (-77.0194808 -12.1351845),4266808702,0.0016053275615801118
263641105,3,,,POINT (-77.0183186 -12.1373485),391020814,0.0005737435141284002
263641107,3,,,POINT (-77.0179947 -12.1382612),3316136603,0.0002795600114503906
263642305,3,,,POINT (-77.02531399999999 -12.1361799),316756910,0.0010829312812909307
263642540,3,,,POINT (-77.0259837 -12.1429363),391009550,0.002838283208206056
316633867,3,,,POINT (-77.0178756 -12.1418803),316633867,0.0
316633871,3,,,POINT (-77.0193488 -12.1456908),678989790,0.0019572483874112944
316633878,3,,,POINT (-77.01986960000001 -12.1522383),678989669,0.0003926443301521107
316634026,5,,,POINT (-77.0178107 -12.1419088),316634026,0.0
316634031,4,traffic_signals,,POINT (-77.0194546 -12.146289),371265030,0.0019715927190989
316634032,4,,,POINT (-77.0200413 -12.1479463),678989759,0.0016991641621775344
316634035,3,,,POINT (-77.0196639 -12.1526749),316634035,0.0
316634164,3,traffic_signals,,POINT (-77.02099680000001 -12.1489988),5726583916,0.0007040181389615169
316634165,4,,,POINT (-77.0204679 -12.150456),316634165,0.0
316634246,3,,,POINT (-77.01810860000001 -12.1418421),1579083033,0.00014560638721102393
316757396,4,,,POINT (-77.0155285 -12.1438269),316757396,0.0
316757405,4,,,POINT (-77.0154563 -12.1437601),316757405,0.0
316757406,3,crossing,,POINT (-77.0154714 -12.1434902),316757406,0.0
371264934,4,traffic_signals,,POINT (-77.0229039 -12.1562082),434289101,0.003773753337195792
371265019,5,,,POINT (-77.02284469999999 -12.1553457),434289101,0.0029093343843551345
371265022,3,,,POINT (-77.0221241 -12.151112),371265022,0.0
371265030,4,,,POINT (-77.0180974 -12.1477191),371265030,0.0
371265034,4,,,POINT (-77.0138079 -12.1419077),371265034,0.0
391003225,3,,,POINT (-77.0243167 -12.1363478),316756910,0.001300821440474762
391003241,3,,,POINT (-77.02585790000001 -12.1382095),5667542274,0.0025725602072633304
391003500,3,,,POINT (-77.0263554 -12.1400448),5667542274,0.002741091702217065
391003505,3,,,POINT (-77.0258986 -12.1406735),5667542274,0.0025063288630967425
391003520,3,,,POINT (-77.02524630000001 -12.1424357),391009551,0.002032696782601413
391003595,3,,,POINT (-77.02408749999999 -12.1457681),391009544,0.0012606431533137166
391007527,3,,,POINT (-77.017295 -12.1388387),391007541,0.00043450386648839767
391007541,4,traffic_signals,,POINT (-77.017709 -12.1389706),391007541,0.0
391007680,5,,,POINT (-77.01876059999999 -12.1392813),391007680,0.0
391007681,4,,,POINT (-77.0195707 -12.1392516),391007681,0.0
391007682,4,,,POINT (-77.0206953 -12.1393637),391007682,0.0
391007683,3,crossing,,POINT (-77.0220106 -12.1394487),263622407,0.0002465454319122252
391007955,3,,,POINT (-77.02339019999999 -12.1393841),391007955,0.0
391007961,4,,,POINT (-77.0237324 -12.1393124),5667542274,0.0002449444018535449
391007963,3,,,POINT (-77.0243657 -12.1390187),5667542274,0.0008811809008356432
391007966,4,,,POINT (-77.02513089999999 -12.1386093),5667542274,0.0017440479408436336
391008260,3,,,POINT (-77.0254887 -12.1399796),5667542274,0.0018793099611197053
391009544,4,traffic_signals,,POINT (-77.02288249999999 -12.1461385),391009544,0.0
391009545,4,,,POINT (-77.0230202 -12.1446292),391009545,0.0
391009546,5,,,POINT (-77.023127 -12.1434067),391009546,0.0
391009550,5,,,POINT (-77.0231548 -12.1431669),391009550,0.0
391009551,4,,,POINT (-77.02321980000001 -12.1422771),391009551,0.0
391009553,4,,,POINT (-77.023382 -12.1404847),391009553,0.0
391009559,3,,,POINT (-77.0244706 -12.1366462),316756910,0.0015241730511982795
391009870,3,,,POINT (-77.02457200000001 -12.1399107),5667542274,0.0009820684752086977
391010575,4,,,POINT (-77.02451619999999 -12.1405698),391009553,0.0011373880824019887
391011521,4,,,POINT (-77.0243478 -12.1423906),391009551,0.0011336958366278368
391011523,4,,,POINT (-77.02445229999999 -12.1413403),391012553,0.0011508795679821557
391012553,4,traffic_signals,,POINT (-77.02330499999999 -12.1412496),391012553,0.0
391012566,3,,,POINT (-77.02205259999999 -12.1421658),391012566,0.0
391012761,3,,,POINT (-77.02199109999999 -12.1430806),391012761,0.0
391012762,3,,,POINT (-77.0219721 -12.1432926),391012762,0.0
391013439,3,,,POINT (-77.023938 -12.1447024),391009545,0.0009207144399829422
391013653,4,,,POINT (-77.0217643 -12.1458133),391013653,0.0
391013663,3,,,POINT (-77.0238171 -12.1464372),391009544,0.0009811721816352142
391013940,3,,,POINT (-77.0218814 -12.1485902),5726583916,0.0005793803759200253
391013941,3,,,POINT (-77.0221416 -12.1478528),391013941,0.0
391013943,4,,,POINT (-77.02252110000001 -12.1469571),391013943,0.0
391015696,3,,,POINT (-77.0219264 -12.1355926),263622414,0.0008619864152044237
391015697,4,,,POINT (-77.0210594 -12.1353089),263622414,0.0017742091336685278
391015732,3,,,POINT (-77.022672 -12.1363316),391015732,0.0
391015733,4,,,POINT (-77.02193149999999 -12.1361025),391015732,0.0007751303503343169
391015736,4,,,POINT (-77.0200006 -12.1354768),4266808708,0.0021130087221756565
391015737,3,,,POINT (-77.01956389999999 -12.1353311),4266808708,0.0017203360136795495
391016290,4,,,POINT (-77.02192340000001 -12.1369001),263622413,0.000661033017329682
391016292,4,,,POINT (-77.0206553 -12.1364738),263622413,0.0019982024246851314
391016295,4,,,POINT (-77.01975729999999 -12.1362012),4053978694,0.001864914180331001
391016298,3,,,POINT (-77.01899469999999 -12.1359829),4053978694,0.0010824005035087946
391017387,4,,,POINT (-77.02190450000001 -12.1376844),263622412,0.0005298247351713837
391017388,3,,,POINT (-77.0209424 -12.1373952),263622412,0.001533751740023561
391017389,4,,,POINT (-77.02041699999999 -12.1372231),263622412,0.002086618827202988
391017391,4,,,POINT (-77.01953640000001 -12.1369369),391020814,0.0017972834445452233
391017681,3,,,POINT (-77.0218478 -12.1386034),263622412,0.0009197220884596053
391017682,4,,,POINT (-77.0212902 -12.1385657),391019994,0.0008347496930218263
391017683,4,,,POINT (-77.0207741 -12.1385309),391007682,0.0008365197427447341
391017684,3,,,POINT (-77.0200767 -12.1384599),391018032,0.0008517637054956375
391018032,3,,,POINT (-77.0199188 -12.1392969),391018032,0.0
391018140,3,,,POINT (-77.0202293 -12.1377663),391018032,0.0015617767478101326
391018142,1,,,POINT (-77.0211607 -12.1349591),263622414,0.0018220735550473527
391018361,4,,,POINT (-77.0183234 -12.140567),434289035,0.0012336419780482836
391018362,3,,,POINT (-77.018991 -12.1385623),4344837187,0.0006849494141902499
391018363,3,,,POINT (-77.01929130000001 -12.1376526),391020814,0.0015920365448155408
391018364,1,,,POINT (-77.0202743 -12.1346734),4266808702,0.002321884424331611
391019695,3,,,POINT (-77.02061519999999 -12.140284),391007682,0.0009237792485214037
391019718,3,,,POINT (-77.02106910000001 -12.1413263),391019718,0.0
391019946,4,,,POINT (-77.0211487 -12.14029),391019994,0.0008954332861813761
391019994,4,,,POINT (-77.0212133 -12.1393969),391019994,0.0
391019999,3,,,POINT (-77.0206749 -12.1413965),391019999,0.0
391020019,3,,,POINT (-77.0200536 -12.1402529),391018032,0.0009654569073760856
391020020,3,,,POINT (-77.0196645 -12.1395984),391007681,0.00035926129766642367
391020322,3,,,POINT (-77.0197127 -12.1415679),391019999,0.0009773468166452642
391020370,3,,,POINT (-77.0195643 -12.1411183),434289035,0.0010879526873867377
391020463,3,,,POINT (-77.0203801 -12.1408538),391019999,0.0006176004614668352
391020808,3,,,POINT (-77.0130798 -12.1410863),678989884,0.0008956178761042798
391020809,4,,,POINT (-77.0144059 -12.1399603),678989884,0.0008440422086611202
391020810,4,,,POINT (-77.0153703 -12.1391535),391021179,0.001036769236621284
391020811,4,,,POINT (-77.0165781 -12.1381031),3316136603,0.0011847246473283967
391020814,3,,,POINT (-77.0177607 -12.1372146),391020814,0.0
391021177,4,,,POINT (-77.0144837 -12.1413033),391021177,0.0
391021178,4,,,POINT (-77.0151467 -12.140731),391021178,0.0
391021179,4,,,POINT (-77.0160881 -12.1399016),391021179,0.0
391022450,3,,,POINT (-77.0172554 -12.1412357),3672931642,0.000786955303686756
391022455,3,,,POINT (-77.01677479999999 -12.1406903),391021179,0.0010457555067907892
391022922,3,,,POINT (-77.0185003 -12.144976),678989795,0.0014627899951811729
391022925,4,,,POINT (-77.0177784 -12.1437028),391022972,0.001482748164725662
391022927,4,,,POINT (-77.01730190000001 -12.1431545),391022972,0.00075638356672251
391022972,4,,,POINT (-77.016796 -12.1425922),391022972,0.0
391023510,4,,,POINT (-77.01582209999999 -12.141521),678989831,0.000867103667386235
434288150,3,,,POINT (-77.0220039 -12.1428959),391012761,0.00018514299878808873
434288151,4,,,POINT (-77.01846260000001 -12.1434502),1579083033,0.0016485459684238346
434288204,3,,,POINT (-77.0211429 -12.1428532),391012761,0.0008781537450743299
434288206,4,,,POINT (-77.02092589999999 -12.1428536),391012761,0.0010891189283076673
434288208,3,,,POINT (-77.0199006 -12.1429311),434289035,0.0017011169154378105
434288215,3,,,POINT (-77.0192059 -12.1431887),434289035,0.0015338516518867051
434288301,3,,,POINT (-77.0207214 -12.142148),391019999,0.0007529372483808627
434288316,3,,,POINT (-77.02050250000001 -12.1414272),391019999,0.00017511210694544466
434288571,3,,,POINT (-77.0194261 -12.1416205),434289035,0.0007593994271795115
434288997,4,,,POINT (-77.0196808 -12.1422733),434289035,0.0011320845374783385
434289035,3,,,POINT (-77.0186776 -12.1417487),434289035,0.0
434289050,4,,,POINT (-77.0189712 -12.142541),434289035,0.0008449498505789105
434289053,3,,,POINT (-77.0182142 -12.1428013),2980275446,0.0009656554768672732
434289054,4,,,POINT (-77.0191777 -12.1452652),678989790,0.0019239545316900749
434289057,3,,,POINT (-77.01977429999999 -12.1445209),434289087,0.00206975079176909
434289058,3,,,POINT (-77.0205819 -12.1435456),434289080,0.001380273161375657
434289059,3,,,POINT (-77.0209854 -12.1430244),391012761,0.0010072690454820494
434289080,3,,,POINT (-77.0219589 -12.1434506),434289080,0.0
434289084,3,,,POINT (-77.02003000000001 -12.1456718),391013653,0.001740062855181972
434289085,4,,,POINT (-77.0205072 -12.1451412),391013653,0.0014254889757590267
434289086,4,,,POINT (-77.0213301 -12.1441597),434289087,0.0006365875430781352
434289087,4,,,POINT (-77.021844 -12.1445354),434289087,0.0
434289092,4,,,POINT (-77.0205413 -12.146836),391013653,0.001594253521241289
434289093,4,,,POINT (-77.02140350000001 -12.147595),391013941,0.0007818263553940791
434289101,4,,,POINT (-77.0225927 -12.1524473),434289101,0.0
434289102,3,,,POINT (-77.02006849999999 -12.1514168),678989669,0.0005160864365515678
434289131,3,,,POINT (-77.02196979999999 -12.1523615),434289101,0.0006287814008167832
434289137,4,,,POINT (-77.018817 -12.1492785),434289137,0.0
434289143,3,,,POINT (-77.01964460000001 -12.1467911),371265030,0.00180416513656984
434289145,3,,,POINT (-77.01832949999999 -12.1467391),371265030,0.0010071099294497118
434289146,3,,,POINT (-77.0178825 -12.1472139),371265030,0.0005490073314633802
434289147,3,,,POINT (-77.01766670000001 -12.1466881),678989790,0.0006681824975302486
434289246,3,,,POINT (-77.0177557 -12.1469128),371265030,0.0008757160384525628
434289247,3,,,POINT (-77.01609790000001 -12.1470412),678989790,0.0016499591388812649
434289248,3,,,POINT (-77.0157847 -12.1470432),678989790,0.0019123893013711308
459319088,3,,,POINT (-77.0179334 -12.1353071),4266808708,0.0005218546253497468
459457168,3,,,POINT (-77.0195269 -12.1539925),459457168,0.0
459457260,4,,,POINT (-77.0192677 -12.1538285),459457168,0.0003067256754838855
678989668,1,,,POINT (-77.023878 -12.1515946),4381412246,0.0015064607130529466
678989669,3,,,POINT (-77.01979300000001 -12.1518532),678989669,0.0
678989705,3,,,POINT (-77.0180069 -12.1518648),678989669,0.001786137668270265
678989706,4,,,POINT (-77.01763080000001 -12.1510568),678989751,0.0018928876775918156
678989746,4,,,POINT (-77.02006179999999 -12.150318),678989746,0.0
678989747,3,,,POINT (-77.01852700000001 -12.1503283),678989751,0.0007440599505363813
678989748,4,,,POINT (-77.0181733 -12.1496281),434289137,0.000732509283215522
678989749,3,,,POINT (-77.01865650000001 -12.1505448),678989751,0.0007806475581174407
678989751,3,,,POINT (-77.0191734 -12.1499598),678989751,0.0
678989752,4,,,POINT (-77.0181319 -12.1495591),678989761,0.000736358404582824
678989753,4,,,POINT (-77.017174 -12.1500775),678989761,0.0018254022269106646
678989758,3,,,POINT (-77.0177138 -12.1486384),678989759,0.0007358709465641606
678989759,3,,,POINT (-77.01843839999999 -12.1485101),678989759,0.0
678989761,4,,,POINT (-77.018788 -12.1492248),678989761,0.0
678989790,4,,,POINT (-77.0174275 -12.1460642),678989790,0.0
