osmid,highway,street_count,geometry,NN,NN_dist
182472515,traffic_signals,4,POINT (-77.0592528 -12.0935626),182472515,0.0
197680544,,4,POINT (-77.07019819999999 -12.0970603),197680544,0.0
197680584,,4,POINT (-77.0763293 -12.0948728),197680584,0.0
197680585,,4,POINT (-77.0753134 -12.0952242),197680585,0.0
197680586,,4,POINT (-77.07434139999999 -12.0955964),197680586,0.0
197680589,,3,POINT (-77.0711609 -12.0967246),1943098977,0.00036082086968948984
197681807,,3,POINT (-77.0699324 -12.0901611),197681807,0.0
197681809,,3,POINT (-77.0701368 -12.0901984),197681809,0.0
197681810,,3,POINT (-77.0702431 -12.0903264),197681810,0.0
197681811,,4,POINT (-77.0710648 -12.0900334),197681810,0.0008723760026534225
197681812,,4,POINT (-77.07209109999999 -12.0896705),197681812,0.0
197681813,,4,POINT (-77.0731327 -12.0893058),197681813,0.0
262727861,,4,POINT (-77.0609094 -12.1010232),263374582,0.0001201044961686885
262727862,,3,POINT (-77.0605965 -12.101145),1425922063,0.00022970557241459163
262727920,,4,POINT (-77.0624195 -12.1004797),262727920,0.0
262727921,,4,POINT (-77.062162 -12.1005792),262727920,0.0002760552480972706
262727986,,3,POINT (-77.061736 -12.1006053),4143633106,0.00013937180488696906
262727987,,3,POINT (-77.0624828 -12.1003283),262727920,0.0001641001218744354
262727999,traffic_signals,3,POINT (-77.0720615 -12.0970564),262727999,0.0
263373406,,3,POINT (-77.0607385 -12.1016512),1425922063,0.0006846053242558217
263373407,,4,POINT (-77.0606569 -12.1012638),1425922063,0.0003089244729699675
263374579,,3,POINT (-77.0614324 -12.102392),263374582,0.0015790619778844272
263374580,,3,POINT (-77.0612776 -12.1019509),263374582,0.0011125127594760326
263374581,,3,POINT (-77.06108159999999 -12.1014746),263374582,0.0005976959176673489
263374582,,4,POINT (-77.0608316 -12.1009317),263374582,0.0
263375071,,3,POINT (-77.0602651 -12.0998995),1425922063,0.0011684920282144158
263375073,,3,POINT (-77.0600077 -12.0989932),1425922063,0.0021053099083006934
263375074,,3,POINT (-77.0597195 -12.0970501),263375075,0.0009639568506963478
263375075,traffic_signals,4,POINT (-77.05957789999999 -12.0960966),263375075,0.0
263375076,,3,POINT (-77.05941540000001 -12.0947877),182472515,0.0012358433436327333
263375539,,3,POINT (-77.0625663 -12.1020022),262727920,0.0015295608814294092
263375545,,3,POINT (-77.0625754 -12.1015028),262727920,0.001034909860809657
263375787,,3,POINT (-77.0624109 -12.1010324),262727920,0.0005527669038574016
263376306,,4,POINT (-77.0607801 -12.1010744),1425922063,0.00011460388300843222
263376434,,1,POINT (-77.0615526 -12.1037935),262727983,0.002932695388203323
263376697,,4,POINT (-77.0584236 -12.0967035),263376843,9.947406696849637e-05
263377071,traffic_signals,5,POINT (-77.0597118 -12.0959954),4264725536,0.00015226463805357557
263377072,,3,POINT (-77.0601308 -12.0957933),4264725536,0.0006151388542423724
263377073,,4,POINT (-77.06079029999999 -12.0954503),4264725536,0.0013574341457293717
263377074,,4,POINT (-77.061691 -12.0950179),8412856226,0.0021034464338334988
263377075,,3,POINT (-77.06242899999999 -12.0946521),8412856226,0.0017602896409385006
263379416,,3,POINT (-77.0602677 -12.0976588),263375075,0.0017077156906247907
263379417,,4,POINT (-77.0611348 -12.0994128),4143633106,0.0013259328980013297
263379418,,3,POINT (-77.0613893 -12.0999218),4143633106,0.0007619396301552021
263379547,,3,POINT (-77.0618186 -12.0991022),262727920,0.001502859627512418
263379548,,4,POINT (-77.0625297 -12.0987515),3019219769,0.001574955320002884
263380122,,3,POINT (-77.06197179999999 -12.0976849),3019219769,0.0027785124167471896
263380123,,4,POINT (-77.0616046 -12.0969975),263375075,0.002217912013586148
263380570,,3,POINT (-77.06298459999999 -12.0972036),3019219769,0.0029682613698936607
263380574,,4,POINT (-77.0628057 -12.0964166),263375075,0.003243623412178276
263380578,,3,POINT (-77.06234499999999 -12.0942685),8412856226,0.001367695762952268
263381097,,3,POINT (-77.0609003 -12.0973398),263375075,0.0018150173552944173
263381098,,3,POINT (-77.0625086 -12.0965563),263375075,0.0029665344393827097
263381103,,3,POINT (-77.0635181 -12.0958795),6131131883,0.0032914884247085604
263381108,,4,POINT (-77.06503120000001 -12.0943466),6131131883,0.0032095499513213692
263381109,,4,POINT (-77.0654693 -12.0939892),263386171,0.003215506112575596
263381110,,4,POINT (-77.0658701 -12.0936686),263386171,0.002753816173974417
263381111,,4,POINT (-77.066095 -12.0934808),263386171,0.0025025531862495213
263381112,,4,POINT (-77.06668519999999 -12.0929924),263386171,0.0019004638091901925
263381113,,4,POINT (-77.0672002 -12.0925896),263386171,0.0014933096832241604
263381115,,3,POINT (-77.06785840000001 -12.0923006),263386171,0.0011254580623025028
263381646,,3,POINT (-77.0585451 -12.0954342),4264725537,0.0010682258656293476
263381647,,3,POINT (-77.0583847 -12.0950128),263381649,0.0013185818139205274
263381648,,3,POINT (-77.0583189 -12.0948671),263381649,0.001158753955765473
263383329,traffic_signals,4,POINT (-77.05938829999999 -12.0935389),263383329,0.0
263383496,traffic_signals,4,POINT (-77.05922579999999 -12.0933592),263383496,0.0
263383554,traffic_signals,4,POINT (-77.0593567 -12.0933369),263383496,0.00013278591792999564
263383619,,3,POINT (-77.05977230000001 -12.0934719),263383329,0.00038980123140958155
263383752,,3,POINT (-77.06080439999999 -12.0933099),8412856226,0.0012697142119444448
263384064,,3,POINT (-77.0621948 -12.0937097),8412856226,0.0007893039591948995
263384067,traffic_signals,4,POINT (-77.06196850000001 -12.0927371),8412856226,0.00020930831325776997
263384344,traffic_signals,4,POINT (-77.0659488 -12.0899893),263384344,0.0
263384345,,3,POINT (-77.0654064 -12.0904411),5728765649,0.000454682625575681
263384346,,3,POINT (-77.06487420000001 -12.0908607),5728765649,0.0011060495332472148
263384347,traffic_signals,4,POINT (-77.06430349999999 -12.091322),5728765649,0.001833924145111354
263384348,traffic_signals,4,POINT (-77.0640781 -12.0914956),5728765649,0.002116587642881475
263384349,,3,POINT (-77.0636753 -12.0918254),6131131883,0.0018249128472317812
263384350,,3,POINT (-77.0632354 -12.0921857),6131131883,0.0012586381370298587
263384428,,3,POINT (-77.06068569999999 -12.0931267),8412856226,0.0013463795193105867
263384433,,3,POINT (-77.0628926 -12.0921719),6131131883,0.0009987536633183252
263384434,,3,POINT (-77.0635317 -12.0916513),6131131883,0.0018210887759761048
263384435,traffic_signals,4,POINT (-77.06393869999999 -12.0913224),5728765649,0.0021094911827326556
263384436,traffic_signals,4,POINT (-77.0641653 -12.0911551),5728765649,0.0018278948109808424
263384437,,3,POINT (-77.0647455 -12.0907013),5728765649,0.0010913115045680126
263384438,,3,POINT (-77.0652901 -12.0902815),5728765649,0.00040369265537357505
263384439,traffic_signals,4,POINT (-77.0658342 -12.0898595),263384439,0.0
263384497,,3,POINT (-77.06139810000001 -12.087747),1273971486,0.00018381983027048235
263384499,,3,POINT (-77.06032519999999 -12.0884604),263384500,0.0006370763925911963
263384500,,3,POINT (-77.059794 -12.0888121),263384500,0.0
263384501,,3,POINT (-77.0592649 -12.0891669),263384500,0.0006370477611561819
263384502,,3,POINT (-77.0585425 -12.0896407),263384503,0.0008380257991269514
263384503,traffic_signals,4,POINT (-77.0578407 -12.0900987),263384503,0.0
263384504,traffic_signals,4,POINT (-77.05772519999999 -12.0901769),263384504,0.0
263384506,,3,POINT (-77.0558448 -12.091423),263384565,0.0022470168423924207
263384507,,3,POINT (-77.0554516 -12.0916756),263110071,0.0024798810072266266
263384508,,3,POINT (-77.0550294 -12.0919518),263110071,0.00197536524470631
263384613,,4,POINT (-77.0588657 -12.0920762),263384613,0.0
263384616,,4,POINT (-77.0583371 -12.0910717),263384616,0.0
263384644,,4,POINT (-77.0584283 -12.090995),263384616,0.00011916513751996364
263384647,,4,POINT (-77.0589852 -12.0920338),263384613,0.00012679909305356394
263384653,,4,POINT (-77.0557907 -12.0933641),262729965,0.0011216112873881259
263384684,,4,POINT (-77.056669 -12.0929218),263384425,0.000960897335828623
263384692,,4,POINT (-77.05739560000001 -12.0925377),4341839228,0.001231512841997597
263384693,,3,POINT (-77.05713489999999 -12.0918418),263384616,0.0014277040484704329
263384694,,3,POINT (-77.05675770000001 -12.0908132),263384565,0.0011560606212439076
263384791,,4,POINT (-77.0615047 -12.091517),8412856226,0.001513309485861723
263384793,,3,POINT (-77.0610227 -12.0917374),8412856226,0.0015619029419301246
263384796,,4,POINT (-77.0600998 -12.0919628),263384613,0.0012392991446830363
263384801,,3,POINT (-77.06099810000001 -12.0901594),263384500,0.001806951604227556
263384802,,3,POINT (-77.06073720000001 -12.0894927),263384500,0.0011631176208859958
263384803,,3,POINT (-77.06055689999999 -12.0889891),263384500,0.0007831637185139564
263384930,,4,POINT (-77.06440790000001 -12.0892051),5728765649,0.0014594938985809387
263384932,,4,POINT (-77.0638775 -12.0896333),5728765649,0.0017773798693579647
263384933,,4,POINT (-77.06328600000001 -12.0900959),5728765649,0.0023239218683060838
263384934,,4,POINT (-77.06306789999999 -12.0902706),5728765649,0.00255218135916159
263384935,,4,POINT (-77.06266840000001 -12.0906004),6131131883,0.0023235242391682924
263384936,,4,POINT (-77.0620246 -12.0911125),6131131883,0.0017664840220051956
263385020,,4,POINT (-77.0591493 -12.0905334),263384616,0.0009743899270817151
263385021,,4,POINT (-77.0598703 -12.090055),263384500,0.0012452397761069914
263385022,,3,POINT (-77.06027779999999 -12.0897712),263384500,0.0010742137822596527
263385179,,3,POINT (-77.0681615 -12.0977846),606182861,0.0005443967027792562
263385180,,3,POINT (-77.06781580000001 -12.0968382),606182861,0.0015519585174830811
263385181,,4,POINT (-77.0674281 -12.0958296),263385306,0.002447914671714216
263385182,,4,POINT (-77.06717020000001 -12.0952161),263386122,0.0024097881940104756
263385183,,4,POINT (-77.0665163 -12.0944522),263386171,0.0024296431754489973
263385184,,4,POINT (-77.06522699999999 -12.0928888),380908323,0.002780227458323216
263385185,,3,POINT (-77.0622126 -12.0892333),3854554751,0.0016954470619881886
263385304,,3,POINT (-77.0691065 -12.0940887),263386122,0.00017076805907552753
263385305,,4,POINT (-77.0694898 -12.0951182),263386000,0.0005590163682775368
263385306,,4,POINT (-77.0698613 -12.0960976),263385306,0.0
263385372,traffic_signals,4,POINT (-77.0714266 -12.0966275),1943098977,7.793587107862177e-05
263385374,,4,POINT (-77.069197 -12.0974015),606182868,0.0005701811115762077
263385428,,3,POINT (-77.0687452 -12.0988168),606182861,0.0006550649738761089
263385465,,2,POINT (-77.069822 -12.0990544),606182868,0.0011973374503468843
263385514,,4,POINT (-77.06962179999999 -12.0985335),606182868,0.0006393351077469206
263385515,,3,POINT (-77.07060319999999 -12.0982068),606182869,0.0006518837703115418
263385662,,4,POINT (-77.06884820000001 -12.096467),263385306,0.0010783450143571627
263385663,,4,POINT (-77.0685091 -12.0954531),263385306,0.0014979402825207975
263385664,,3,POINT (-77.0682944 -12.0949545),263386122,0.001344086343956683
263385665,,4,POINT (-77.0681225 -12.0944362),263386122,0.0012141664136389985
263385666,,4,POINT (-77.0677633 -12.0934553),263386171,0.0008641910494886766
263385669,,4,POINT (-77.0665771 -12.0918149),380908323,0.001306693514178347
263385865,,3,POINT (-77.0636051 -12.0926306),6131131883,0.0014450233008512744
263385887,,3,POINT (-77.0628318 -12.0939473),6131131883,0.0012571304625994203
263385888,,3,POINT (-77.0631497 -12.0937051),6131131883,0.0012780577021358826
263385889,,3,POINT (-77.0635521 -12.0933986),6131131883,0.0014692729970913203
263385890,,3,POINT (-77.0639754 -12.0930761),6131131883,0.0018065550088510421
263385897,,3,POINT (-77.0646081 -12.0946626),6131131883,0.0030165572330046993
263385908,,3,POINT (-77.06423909999999 -12.0942262),6131131883,0.0024641088652834283
263385920,,3,POINT (-77.06385659999999 -12.0945264),6131131883,0.002355070047784592
263385950,,3,POINT (-77.0632949 -12.0952249),6131131883,0.002603416618599991
263385996,,3,POINT (-77.0643855 -12.0935696),6131131883,0.002312784525197087
263385997,,3,POINT (-77.0656676 -12.0951124),263386171,0.003500910802926021
263385998,,3,POINT (-77.0663189 -12.095896),606182861,0.0031427032519772426
263385999,,3,POINT (-77.06654380000001 -12.0961666),606182861,0.002790858398408174
263386000,,4,POINT (-77.0700147 -12.0949259),263386000,0.0
263386034,traffic_signals,4,POINT (-77.07071259999999 -12.0957854),263386034,0.0
263386119,,3,POINT (-77.0667619 -12.0955483),263386122,0.002930235323316467
263386120,,3,POINT (-77.0673891 -12.0950402),263386122,0.002133008438806226
263386121,,4,POINT (-77.0679741 -12.0945596),263386122,0.0013971712135637106
263386122,traffic_signals,4,POINT (-77.06926470000001 -12.0940244),263386122,0.0
263386141,,4,POINT (-77.0661121 -12.0947646),263386171,0.0029383781104607874
263386142,,4,POINT (-77.0648283 -12.0932161),6131131883,0.002670151757858968
263386169,,4,POINT (-77.0667467 -12.0942661),263386171,0.0021359637192695687
263386170,,4,POINT (-77.0673355 -12.093803),263386171,0.0013959137079405347
263386171,traffic_signals,4,POINT (-77.06857770000001 -12.0931662),263386171,0.0
263386247,,4,POINT (-77.0624249 -12.0890581),3854554751,0.0017169304266653736
263386248,,4,POINT (-77.0654586 -12.0927138),380908323,0.002512803573699006
263386399,,4,POINT (-77.0660501 -12.0922539),380908323,0.0018489459537788522
263386462,,3,POINT (-77.06710219999999 -12.0914026),380908323,0.0009911709640604042
263386681,,3,POINT (-77.0611796 -12.0900654),263384500,0.0018683276613102946
263386682,,3,POINT (-77.06151819999999 -12.0897864),5433888564,0.00185934532833451
263386683,,4,POINT (-77.0618101 -12.0895457),5433888564,0.00173653938913399
263386684,,4,POINT (-77.0630166 -12.0885741),263386686,0.0013738810610891244
263386685,,4,POINT (-77.06354090000001 -12.0881472),263386686,0.0006978487586856149
263386686,,3,POINT (-77.06409170000001 -12.0877187),263386686,0.0
263386811,,3,POINT (-77.0610891 -12.0887985),5433888564,0.0008100818538891623
263386813,,3,POINT (-77.0613036 -12.0888955),5433888564,0.0009435084843305773
263386904,,4,POINT (-77.0626602 -12.0881356),1273971486,0.0014175246029574306
263386905,,4,POINT (-77.0625026 -12.0879287),1273971486,0.001196827577391574
263386906,,3,POINT (-77.06207139999999 -12.0873702),1273971486,0.0007363312569693572
263386933,,3,POINT (-77.063193 -12.0877227),263386686,0.0008987089017104638
263386934,,2,POINT (-77.06302030000001 -12.087512),1273469440,0.0008919185725163579
263386945,,3,POINT (-77.0649595 -12.0887789),632683116,0.0012697613161501908
